Pagenum,Response,Number of people / Jinhao,House in / Jinhao,Number of people / Max,House in / Max,Site(AB:1/CS:2),identical?,disagreement on people,disagreement on in/out
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,0,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,3,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,2,1,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,1,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,4,2,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,3,2,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,4,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,4,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,9,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,6,1,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,3,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,3,1,2,,,
,,,,3,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,4,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,2,2,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,0,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,1,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,3,0,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,5,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,3,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,2,2,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,4,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,3,0,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,0,1,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,1,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,5,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,0,1,2,,,
,,,,2,0,2,,,
,,,,2,2,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,4,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,3,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,2,1,2,,,
,,,,1,1,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,0,1,2,,,
,,,,2,1,2,,,
,,,,2,1,2,,,
,,,,1,1,2,,,
,,,,2,2,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,2,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,0,2,2,,,
,,,,2,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,5,0,2,,,
,,,,0,0,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,5,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,4,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,4,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,5,0,2,,,
,,,,2,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,2,1,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,3,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,2,1,2,,,
,,,,3,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,1,2,,,
,,,,1,1,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,1,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,0,1,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,2,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,1,0,2,,,
,,,,2,2,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,0,1,2,,,
,,,,4,1,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,0,1,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,4,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,2,2,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,1,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,1,2,2,,,
,,,,2,0,2,,,
,,,,1,1,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,
,,,,0,0,2,,,
,,,,2,1,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,2,0,2,,,
,,,,0,1,2,,,
,,,,3,0,2,,,
,,,,1,2,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,0,0,2,,,
,,,,2,0,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,1,1,2,,,
,,,,3,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,2,2,,,
,,,,3,0,2,,,
,,,,1,2,2,,,
,,,,1,1,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,0,2,,,
,,,,1,0,2,,,
,,,,1,0,2,,,
,,,,2,1,2,,,
,,,,1,0,2,,,